ID,Status,PeakPower(W),MachineTemp,TempUnits,WindSpeed,SpeedUnits,MeasureDate,MeasureTime,Region
WWS-S1002,Active,1015958,69.16,C,18.94,KMPH,3/1/2021,13:04:07,ANZ
WWS-S1006,Offline,1121950,83.29,C,24.86,KMPH,4/1/2021,20:30:49,EMEA
WWS-S1005,Active,1027325,76.91,C,20.39,KMPH,5/1/2021,17:00:51,LATAM
WWS-S1006,Active,1173417,74.55,C,15.35,KMPH,3/1/2021,7:37:57,NORTHAM
WWS-S1004,Active,1081023,76.33,C,21.29,KMPH,6/1/2021,20:05:02,APAC
WWS-S1003,Offline,1209322,76.96,C,20.9,KMPH,5/1/2021,11:38:52,EMEA
WWS-S1009,Active,1011895,67.39,C,21.39,KMPH,3/1/2021,21:45:44,EMEA
WWS-S1005,Active,1140888,78.89,C,22.12,KMPH,2/1/2021,21:27:02,APAC
WWS-S1006,Offline,1079499,82.96,C,23.02,KMPH,4/1/2021,8:47:48,LATAM
WWS-S1007,Active,1096811,68.02,C,19.53,KMPH,7/1/2021,23:27:09,ANZ
